,ID,Date,Temp,Pop.x,Block.x,Trial Time,fmins,Pop.y,Block.y,Run.By,Counted.by,Vial,Before,After,After_w_control,Dif,m,m_filter_400,m_filter_400_600,m_filter_500,m_filter_300,m_filter_300_700,m_filter_400_small,Activity.Description,Trial..,ctrl_dif,guess_control_before,guess_control_after,guess_time,a,a_ave,a_abs,feeding.st,sh_per_min,Population,OperculumLength,operc.scaled,shrimp.by.operc,shrimp.by.operc.scaled,feedrate
47,FHL29,7/12/17,23,FHL,5,58,15.1,FHL,5,Gretchen,Jaime,Y,486,206,214.6,-280,0.054127293,0.054127293,0.054127293,,0.054127293,0.054127293,0.054127293,N/F,1,,,,,,-0.000420812,-8.6,-268.5,-17.78145695,Friday Harbor,5.51,23.50338734,-3.136981527,-0.735416047,17.78145695
16,FHL10,6/28/17,23,FHL,4,31,24,FHL ,4,Xenia,Xenia,G,485,247,255.6,-238,0.026685094,0.026685094,0.026685094,,0.026685094,0.026685094,0.026685094,N/F,1,,,,,,-0.000420812,-8.6,-226.5,-9.4375,Friday Harbor,5.86,26.33968577,-1.663822526,-0.370163869,9.4375
12,FHL08,6/28/17,23,FHL,4,51,26,FHL ,4,Xenia,Xenia,Y,526,461,469.6,-65,0.00436036,0.00436036,0.00436036,0.00436036,0.00436036,0.00436036,0.00436036,N/F,1,,,,,,-0.000420812,-8.6,-53.5,-2.057692308,Friday Harbor,5.96,27.17725445,-0.393649974,-0.086327846,2.057692308
22,FHL14,6/28/17,23,FHL,4,63,32,FHL ,4,Xenia,Xenia,R,1006,725,733.6,-281,0.009866908,0.009866908,,0.009866908,0.009866908,,0.009866908,N/F,1,,,,,,-0.000420812,-8.6,-269.5,-8.421875,Friday Harbor,5.37,22.41054553,-1.611964618,-0.386257889,8.421875
53,FHL32,8/3/17,26,FHL,1,,3.983333333,FHL,1,Gretchen,Jaime,RR,439,446,454.6,7,-0.008779265,,,,,,,NR,3,-8.5,461.125,469.625,32.95,-0.000240745,-0.000420812,-8.6,15.5,3.891213389,Friday Harbor,6.74,34.12092598,1.750617682,0.345804308,-3.891213389
32,FHL20,8/4/17,26,FHL,6,,4.166666667,FHL,6,Gretchen,Jaime,O,453,207,215.6,-246,0.178165712,,,,,,,NR,1,,,,,,-0.000420812,-8.6,-237.5,-57,Friday Harbor,5.07,20.14952092,-12.02366864,-3.025382104,57
4,FHL03,8/4/17,26,FHL,6,,9.366666667,FHL,6,Gretchen,Jaime,G,393,373,381.6,-20,0.003136061,,,,0.003136061,0.003136061,,F,1,,,,,,-0.000420812,-8.6,-11.5,-1.227758007,Friday Harbor,5.1,20.37064713,-0.58614193,-0.146746631,1.227758007
44,FHL27,8/4/17,26,FHL,6,,10.43333333,FHL,6,Gretchen,NA,R,468,323,331.6,-145,0.033016031,0.033016031,0.033016031,,0.033016031,0.033016031,0.033016031,nr/n,1,,,,,,-0.000420812,-8.6,-136.5,-13.0830671,Friday Harbor,4.7,17.51382626,-3.1201142,-0.837311991,13.0830671
27,FHL17,7/20/17,26,FHL,1,,12.41666667,FHL,1,Xenia,Xenia,RG,537,399,407.6,-138,0.022200284,0.022200284,0.022200284,0.022200284,0.022200284,0.022200284,0.022200284,n,1,,,,,,-0.000420812,-8.6,-129.5,-10.4295302,Friday Harbor,5.46,23.11034288,-1.740541338,-0.41121656,10.4295302
25,FHL15,8/4/17,26,FHL,6,,20.4,FHL,6,Gretchen,NA,Y,421,424,432.6,3,-0.001335077,-0.001335077,-0.001335077,,-0.001335077,-0.001335077,-0.001335077,NR,1,,,,,,-0.000420812,-8.6,11.5,0.56372549,Friday Harbor,5.77,25.59618582,-0.042477996,-0.009575569,-0.56372549
57,FHL34,7/20/17,26,FHL,1,,30.01666667,FHL,1,Xenia,Xenia,RO,484,462,470.6,-22,0.00093368,0.00093368,0.00093368,,0.00093368,0.00093368,0.00093368,n/nr,1,,,,,,-0.000420812,-8.6,-13.5,-0.449750139,Friday Harbor,4.03,13.17693293,-0.016533412,-0.005056537,0.449750139
49,FHL30,7/20/17,26,FHL,1,,32.95,FHL,1,Xenia,Xenia,RB,494,174,182.6,-320,0.030200531,,,,,,,n,1,,,,,,-0.000420812,-8.6,-311.5,-9.453717754,Friday Harbor,5.6,24.21853395,-1.625840017,-0.375939523,9.453717754
36,FHL22,7/18/17,30,FHL,8,59,9.35,FHL,8,Jaime,Xenia,Y,500,456,464.6,-44,0.007848145,0.007848145,0.007848145,,0.007848145,0.007848145,0.007848145,N/P,1,-4.87,548.75,553.62,27.6,-0.00013903,-0.000420812,-8.6,-39.13,-4.185026738,Friday Harbor,4.95,19.27611986,-0.983092962,-0.252452786,4.185026738
7,FHL05,7/18/17,30,FHL,8,50,10.56666667,FHL,8,Jaime,Jaime,R,514,481,489.6,-33,0.004598047,0.004598047,0.004598047,0.004598047,0.004598047,0.004598047,0.004598047,N/P *penis,1,,,,,,-0.000420812,-8.6,-28.13,-2.66214511,Friday Harbor,5.75,25.43229267,-0.567823344,-0.128379469,2.66214511
8,FHL05,7/21/17,30,FHL,8,,24.68333333,FHL,8,Jaime,Jaime,R,712,694,702.6,-18,0.000537057,0.000537057,,0.000537057,0.000537057,,0.000537057,NR,2,,,,,,-0.000420812,-8.6,-13.13,-0.53193788,Friday Harbor,5.75,25.43229267,0.042274609,0.009557888,0.53193788
26,FHL16,7/18/17,30,FHL,8,30,27.6,FHL,8,Jaime,Xenia,B,469,461,469.6,-8,-4.81548E-05,-4.81548E-05,-4.81548E-05,,-4.81548E-05,-4.81548E-05,,N *penis,1,,,,,,-0.000420812,-8.6,-3.13,-0.113405797,Friday Harbor,6.13,28.6287165,-0.056150554,-0.012022994,0.113405797
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.023185411,0.024902592,0.021776345,0.022664242,0.023845619,,,,,,,,-0.000420812,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
